,start,stop
0,0,1.29
1,3.02,3.42
2,4.19,6.66
3,7.84,8.61
4,9.66,11.02
5,11.92,14.64
6,18.56,20.42
7,24.7,26.13
8,28.08,31.84
9,37.76,39.31
10,45.47,47.28
11,53,56.06
12,58.78,60.38
13,60.89,62.72
14,64.46,65.54
15,67.07,71.68
16,75,75.47
17,78.05,79.04
18,80.06,81.02
19,84.96,85.95
20,86.47,87.14
21,87.42,90.35
22,92.67,93.49
23,94.19,95.58
24,100.25,103.95
25,104.67,105.14
26,106.86,108.58
27,110.88,113.5
28,114.51,117.18
29,117.63,124.97
30,131.86,132.56
31,133.92,135.42
32,137.21,138.46
33,144.65,145.15
34,145.95,147.64
35,151.06,152.3
36,153.37,154.11
37,154.27,159.22
38,159.4,160.28
39,161.05,162.05
40,162.99,164.55
41,164.84,167.86
42,169.24,194.01
