,start,stop
0,1.44,2.58
1,6.88,7.84
2,8.77,9.57
3,11.17,12.64
4,14.89,18.37
5,20.94,24.3
6,26.46,27.94
7,32.22,37.74
8,39.61,45.47
9,45.84,46.64
10,47.41,52.74
11,55.33,58.7
12,60.38,60.78
13,62.77,64.43
14,64.97,66.94
15,72.14,78.81
16,79.25,79.71
17,81.12,84.8
18,85.27,86.38
19,90.27,92.58
20,93.25,94.16
21,94.2,94.92
22,95.68,99.79
23,104.02,104.53
24,105.1,107.02
25,108.64,112.51
26,113.31,114.38
27,115.61,117.82
28,123.58,125.36
29,125.45,131.86
30,132.46,133.84
31,134.99,137.6
32,138.54,145.64
33,145.77,146.27
34,147.77,153.98
35,154.32,155.08
36,158.77,159.39
37,160.17,162.82
38,168.15,168.94
39,174.47,175.05
