,start,stop
0,1.94,2.37
1,2.79,3.11
2,5.98,6.43
3,7.6,8.2
4,10.37,11.1
5,13.35,14.77
6,19.2,20.76
7,22.43,26.17
8,30,32.14
9,34.87,35.81
10,36.52,38.91
11,41.39,43.05
12,52.51,53.73
13,59.46,61.29
14,62.92,65.73
15,73.37,75.66
16,80.17,83
17,84.86,85.6
18,85.99,89.07
19,91.34,94.55
20,103.96,105.57
21,110.07,110.48
22,111.15,111.56
23,111.89,112.91
24,113.51,115.24
25,122.15,124.98
26,126.19,127.66
27,128.01,128.86
28,132.07,132.56
29,133.02,134.78
30,141.91,144.66
31,148.26,152.49
32,155.53,156.2
33,157.17,159.36
34,163.42,164.08
35,169.11,170.05
36,173.96,175.18
37,178.81,179.39
38,185.76,186.13
39,186.57,187.03
40,187.16,189.2
41,193.03,193.61
42,194.02,195.07
43,195.56,198.22
44,198.34,198.83
45,200,200.58
46,200.77,204.08
47,205.68,206.26
48,206.73,207.2
49,207.57,209.42
