,start,stop
0,0.62,1.79
1,1.89,2.8
2,3.31,4.88
3,8.53,9.22
4,11.79,13
5,16.18,18.77
6,20.64,21.89
7,25.21,28.02
8,28.17,29.71
9,32.35,34.42
10,35.92,36.26
11,39.24,40.94
12,43.76,52.28
13,54.13,59.39
14,60.09,62.15
15,65.78,66.53
16,66.78,73.74
17,75.9,77.47
18,78.5,79.95
19,82.84,84.74
20,89.5,90.72
21,94.83,103.77
22,105.87,109.87
23,111.9,114.49
24,115.2,115.89
25,125.45,125.86
26,126.58,127.16
27,127.63,128.12
28,128.92,130.87
29,135.17,138.37
30,139.87,141.32
31,145.58,146.61
32,152.87,154.99
33,160.22,162.64
34,164.36,168.72
35,169.89,173.78
36,175,178.53
37,179.35,185.46
38,185.81,185.99
39,186.56,187
40,189.29,191.58
41,191.81,192.64
42,195.13,195.39
43,197.76,198.23
44,198.46,199.49
45,203.27,204.1
46,204.38,205.34
47,206.49,207.54
