,start,stop
0,2.16,2.71
1,5.11,5.72
2,6.49,7.32
3,8.22,8.9
4,9.93,10.44
5,10.58,12.1
6,16.25,16.49
7,16.93,17.49
8,26.69,27.01
9,30.47,30.79
10,31.38,32.13
11,34.69,35.2
12,35.92,37.77
13,43.19,43.95
14,44.39,45.22
15,45.49,48.92
16,55.03,56.4
17,60.37,62.95
18,63.42,67.25
19,73.44,74.04
20,83.24,83.56
21,86.22,86.58
22,87.18,89.77
23,91.91,92.55
24,94.09,97.53
25,103.18,103.56
26,105.49,107.39
27,111.94,113.06
28,116.58,116.9
29,117.15,119.78
30,125.31,126.1
31,130.05,130.59
32,130.87,132.22
33,133.49,133.96
34,134.28,137.18
35,137.55,138.34
36,143.9,145.25
37,153.18,154.18
38,155.01,155.92
39,161.08,161.67
40,161.9,162.52
41,162.95,164.97
42,173.08,173.37
43,180.38,181.4
44,181.77,183.06
45,184.65,184.96
46,185.34,194.49
47,197.37,198.15
48,199.15,200.73
49,202.07,205.16
50,206.09,206.47
51,206.75,206.91
