,start,stop
0,0.0,2.23
1,3.72,5.62
2,7.8,10.18
3,15.1,16.35
4,20.23,21.69
5,24.66,28.49
6,32.7,35.96
7,39.84,40.97
8,43.0,44.43
9,44.79,45.79
10,47.31,48.48
11,50.2,51.62
12,57.06,58.04
13,59.37,63.28
14,67.43,71.03
15,72.65,75.75
16,77.81,86.11
17,89.48,90.27
18,91.3,93.71
19,96.83,98.83
20,101.13,103.07
21,103.75,106.84
22,108.09,110.31
23,115.12,116.93
24,125.16,127.93
25,129.48,131.76
26,135.29,138.27
27,141.75,142.46
28,144.56,149.97
29,153.23,162.68
30,167.2,169.98
31,171.95,174.28
32,178.27,181.88
33,187.22,187.87
34,188.97,192.73
35,195.31,197.48
36,198.9,201.25
37,204.34,209.7
38,217.48,218.21
39,219.12,219.7
40,222.83,223.55
41,229.41,247.6
42,248.44,250.95
43,267.59,270.54
44,273.43,274.21
45,276.99,284.43
46,286.47,288.93
47,290.1,291.26
48,294.0,294.77
49,299.71,300.62
50,301.5,304.5
51,309.49,313.9
52,315.8,317.03
53,319.51,321.59
54,326.22,326.75
55,330.4,336.48
56,339.84,343.07
57,346.36,353.86
58,354.39,356.27
59,358.95,359.37
60,362.9,372.72
61,378.69,384.99
62,407.53,408.4
63,409.4,413.51
64,414.22,419.11
65,423.94,424.69
66,429.58,438.88
67,440.88,441.56
68,444.16,444.77
