,start,stop
0,2.38,3.1
1,5.62,7.84
2,10.4,10.96
3,13.08,14.5
4,16.58,19.4
5,21.56,23.92
6,28.54,31.5
7,36.83,37.9
8,40.98,42.64
9,44.74,49.19
10,51.81,58.7
11,63.53,66.32
12,71.47,72.04
13,75.73,77.08
14,86.19,88.93
15,89.55,91.13
16,94.07,95.51
17,99.08,100.8
18,106.88,108.38
19,110.53,114.97
20,117.01,125.17
21,127.98,128.68
22,131.84,135.08
23,139.22,141.51
24,142.42,143.95
25,149.44,152.56
26,162.93,167.21
27,171.09,171.95
28,174.26,177.92
29,183.08,186.95
30,188.28,188.61
31,192.61,194.12
32,198.26,198.94
33,201.53,203.32
34,211.03,229.46
35,247.94,248.39
36,250.86,267.7
37,269.61,272.57
38,274.45,275.78
39,282.9,283.2
40,286.37,286.85
41,292.17,298.85
42,304.66,308.26
43,314.63,315.71
44,316.64,318.55
45,322.01,328.75
46,336.47,339.31
47,342.23,345.84
48,353.03,354.4
49,356.46,358.48
50,359.91,361.78
51,364.14,364.64
52,373.0,373.85
53,376.86,377.87
54,384.99,409.48
55,411.69,413.49
56,418.64,428.55
57,438.82,440.54
58,441.71,443.28
